ID,What is your age?,How many individuals live in your household for which you are responsible for food expenditures (excluding yourself)?,What state do you live in?,What currency are you reporting your food expenditures in?,What was your total food expenditure in the last week?,What was your total food expenditures at grocery stores in the last week?,What was your food expenditure while dining out in the last week?,What was your food expenditure (miscellaneous) in the last week?,How many times did you dine out last week?,Are you including alcohol in your food expenditures?,"What food assistance programs, if any, did you use for your food expenditures last week?"
1,68,7,LA,USD,436.35,168.59,140.71,109.77,4,Yes,None
2,88,5,WA,USD,,452.1,192.94,,1,Unknown,SNAP
3,82,3,MS,USD,279.1,301.66,239.84,103.94,9,Yes,None
4,73,8,AK,USD,-20.98,139.66,69.19,44.84,2,Unknown,None
5,89,0,IN,USD,494.87,,191.72,172.31,3,Yes,None
6,18,6,WI,EUR,276.32,394.44,283.2,114.06,6,Unknown,Food Pantry
7,38,4,DC,USD,318.79,153.49,104.05,39.21,1,Yes,SNAP
8,28,8,ID,USD,304.52,286.7,,24.61,10,No,None
9,16,4,SC,USD,325.71,484.22,289.89,145.01,1,,WIC
10,84,1,HI,USD,332.08,236.68,105.59,38.86,9,Unknown,None
11,46,1,ND,USD,-201.52,40.54,10.57,40.24,1,No,None
12,29,5,UT,USD,622.58,144.16,58.5,14.73,5,No,None
13,90,7,DC,USD,292.08,168.88,64.77,29.12,8,Yes,SNAP
14,22,5,NV,USD,505.11,381.19,121.2,76.45,8,No,None
15,70,6,WA,USD,311.84,212.63,93.26,111.79,30,Yes,SNAP
16,3,1,ME,USD,555.39,280.91,63.78,,0,N,None
17,31,8,WI,USD,529.38,139.08,,24.01,2,Unknown,None
18,23,12,VA,USD,404.6,243.86,159.71,94.78,10,No,None
19,86,6,RI,USD,561.31,444.56,186.67,,6,Unknown,Food Pantry
20,81,7,MT,USD,604.2,254.94,152.27,145.16,10,No,None
21,51,1,AK,USD,794.98,409.4,123.04,132.14,1,No,Food Pantry
22,70,4,IL,USD,284.72,197.66,122.72,66.61,2,No,None
23,39,3,PA,EUR,184.15,280.08,149.95,76.74,5,Unknown,None
24,79,6,OR,USD,789.86,269.49,199.48,154.01,9,Yes,School Meals
25,33,7,WA,USD,141.85,265.9,58.71,203.34,9,No,None
26,19,1,CT,USD,865.36,438.04,148.28,,10,Yes,Food Pantry
27,47,12,GA,USD,457.64,220.24,63.68,181.99,1,Yes,None
28,42,5,NV,EUR,762.41,266.37,142.55,184.82,9,No,None
29,48,12,MT,USD,514.22,105.19,48.59,47.8,15,Yes,None
30,85,12,NC,USD,431.93,244.75,130.94,131.07,20,Yes,Food Pantry
31,59,6,TX,USD,44.13,347.12,58.75,146.84,8,Yes,SNAP
32,48,12,NE,USD,~350,227.74,78.38,55.25,7,No,None
33,37,7,NY,USD,-25,66.24,30.79,,7,No,None
34,58,6,CO,USD,398.68,186.02,123.6,153.23,10,Yes,SNAP
35,79,0,DC,USD,477.72,237.4,,32.02,20,Yes,None
36,75,8,WY,USD,346.09,429.12,240.54,208.01,5,Unknown,WIC
37,150,0,IL,USD,-25,64.36,13.93,59.46,6,,None
38,58,8,IA,CAD,852.93,216.58,95.28,125.48,8,N,None
39,23,1,NV,USD,366,248.39,61.93,123.18,30,Yes,None
40,61,0,DC,CAD,156.05,388.4,162.57,81.65,9,Yes,?
41,68,4,FL,USD,113.97,139.72,67.64,17.44,7,,None
42,58,7,SC,CAD,366.45,79.78,39.53,52.27,5,No,SNAP
43,62,2,AZ,USD,358.13,161.24,118.86,33.27,3,Y,None
44,77,1,NM,USD,654.01,278.24,185.93,77.01,30,,None
45,46,0,WA,EUR,364.97,458.23,186.53,135.61,1,,None
46,51,0,AL,CAD,,350.09,81.04,327.59,2,Yes,None
47,30,5,MI,USD,0.46,198.3,56.36,184.63,2,No,None
51,21,1,NV,USD,0,175.13,101.38,155.85,4,No,None
52,31,5,IL,USD,574.63,135.49,99.38,20.42,9,No,None
53,27,1,MN,USD,481.04,381.95,207.97,57.9,1,Yes,None
54,67,4,NV,USD,-25,373.16,184.65,-22.47,2,N,None
55,24,3,WI,USD,257.59,62.73,34.88,52.37,7,No,SNAP
56,15,2,WV,USD,537.65,226.99,131.19,-19.81,20,Yes,None
57,38,1,,USD,434.91,253.2,45.38,70.11,0,No,None
58,67,8,OH,USD,427.24,34.22,21.13,5.64,10,Yes,Food Pantry
59,42,0,LA,USD,-25,155.34,98.89,80.35,15,Yes,None
60,65,7,NJ,CAD,200.74,213.79,175.49,94.52,10,No,None
61,22,3,OK,USD,253.33,360.63,103.6,-0.02,3,No,School Meals
62,21,3,ME,USD,151.63,184.29,163.52,66.11,8,Yes,None
64,74,6,RI,USD,331.69,172.17,76.16,60.66,15,Yes,None
65,34,1,AL,USD,377.16,123.85,66.73,53.43,0,No,School Meals
66,44,5,WV,USD,808.2,453.84,134.64,,10,Yes,None
67,81,0,FL,CAD,299.44,152.47,70.78,103.36,2,Y,None
68,73,0,CA,USD,903.34,535.71,177.89,,15,Yes,None
69,65,4,,USD,300.85,215.11,162.36,127.87,4,Yes,None
70,74,8,AL,USD,554.75,101.25,32.45,30.16,4,Yes,None
71,,0,XX,USD,0,6.92,4.02,5.22,3,No,None
72,66,8,NE,CAD,438.77,424.7,104.74,89.23,7,Unknown,Food Pantry
73,42,0,KS,USD,10.69,429.88,114.11,,5,No,None
74,18,2,UT,USD,-25,312.83,174.82,-1.68,8,Yes,?
75,150,6,PA,USD,182.65,403.44,302.01,64.67,9,Yes,None
77,70,6,WY,USD,659.87,77.55,25.79,10.18,9,Yes,?
78,83,5,VT,USD,779.49,226.23,145.32,44.29,10,N,WIC
79,71,0,DE,CAD,596.91,74.52,51.07,19.85,7,Yes,None
80,61,4,XX,USD,350.89,155.17,32.77,128.25,9,No,None
81,69,0,IL,USD,-113.7,189.4,87,196.43,10,Yes,None
82,45,2,PA,USD,0,192.51,60.96,,2,Yes,None
83,18,6,XX,USD,,167.49,67.61,47.66,7,Yes,School Meals
84,,12,ND,USD,631.88,234.08,54.77,,6,No,None
85,80,6,MN,USD,338.99,392.5,190.88,257.16,3,No,Food Pantry
86,34,2,KY,EUR,346.87,196.75,126.31,158.98,4,,None
87,66,4,ND,USD,510.02,655.63,116.01,128.92,6,No,WIC
88,84,3,CO,USD,291.98,234.25,48.84,160.69,3,No,None
89,27,1,IL,USD,476.51,287.35,142.44,256.41,4,Yes,None
90,81,4,PR,USD,669.93,378.69,263.26,49.67,7,Yes,None
92,3,3,AL,EUR,360.95,214.35,37.66,82.36,3,Yes,Food Pantry
93,19,8,MO,USD,232.01,582.38,224.92,,5,Unknown,None
94,7,12,PR,USD,796.02,216.26,89.8,63.43,2,No,School Meals
95,30,12,TX,USD,68.05,230.87,136.63,72.37,6,Unknown,None
96,6,12,NE,USD,,452.31,,113.17,3,N,None
97,59,3,MA,CAD,468.61,141.87,89.95,99.39,6,Yes,None
98,17,1,HI,USD,312.88,462.08,217.19,7.54,3,No,School Meals
99,85,6,NH,USD,628.59,190.77,71.82,80.38,15,Unknown,None
100,150,12,IA,USD,474.25,21.99,4.71,15.93,9,No,None
101,20,12,CA,USD,554.42,380.56,147.83,62.63,10,Y,None
102,8,5,TN,USD,-28.59,327.06,98.62,89.2,7,Unknown,None
103,43,12,KS,CAD,375.79,112.27,56.91,23.37,5,,?
104,46,6,MA,USD,358.42,195.66,130.4,43.42,3,No,None
105,81,1,IL,USD,493.97,313.15,149.92,238.45,1,Unknown,SNAP
106,79,1,MD,USD,674.45,249.78,200.7,149.13,5,,None
108,17,1,IL,CAD,412.68,327.76,158.38,,10,Unknown,None
109,34,1,MS,USD,357.18,181.17,130.43,93.66,9,,SNAP
110,83,3,AZ,USD,289.94,26.66,18.79,10.31,3,No,None
111,63,6,VA,USD,,313.34,73.57,124.93,3,Unknown,Food Pantry
112,88,0,OH,USD,38.9,231.06,72.45,,5,No,None
113,77,0,TN,USD,80.85,304.51,194.44,78.32,5,No,None
114,35,1,PA,USD,348.55,222.32,73.81,99.41,1,No,None
115,47,12,XX,USD,602.64,250.9,125.99,120.22,10,No,School Meals
116,23,12,VT,USD,816.52,233,98,196.39,4,No,None
117,57,6,WA,USD,43.14,289.77,115.19,81.82,1,No,None
118,49,8,AL,USD,-51.81,273.09,74.79,83.01,4,No,None
119,76,1,AK,USD,365.79,217.12,58.61,,15,Yes,None
120,8,8,CO,EUR,222.67,189.21,64.2,100.95,5,Y,None
121,30,2,OR,USD,446.7,67.61,13.85,40.32,20,Yes,None
122,51,6,CA,USD,-25,64.35,40.28,23.4,15,No,None
123,80,3,CT,USD,479.69,155.32,100.28,106.35,7,,None
124,28,5,PR,USD,-25,103.58,18.38,29.25,8,No,None
125,19,8,DE,USD,0,255.8,49.53,64.36,4,Unknown,None
126,45,6,GA,USD,831.67,223.32,85.16,77.38,5,Yes,None
127,6,4,GA,USD,360.1,,8.09,15.91,5,Unknown,?
130,30,7,OR,USD,0,174.57,128.09,19.06,4,No,None
131,27,5,LA,USD,763.08,131.63,63.33,-6.85,8,No,Food Pantry
132,77,4,CT,USD,-25,24.9,12.24,9.1,7,No,SNAP
133,78,1,LA,USD,152.31,,65.87,45.97,10,Yes,None
134,85,12,SC,USD,301.83,236.43,143.16,186.3,1,Yes,None
135,19,0,IA,USD,191.01,140.44,61.75,120.73,4,No,None
136,2,2,NC,USD,445.18,,47.02,141.64,5,Unknown,?
137,31,8,CT,USD,428.16,308.43,226.07,96.81,7,No,None
138,28,8,MA,USD,594.57,322.71,214.61,209.08,5,No,None
139,74,5,VT,USD,-88.1,311.37,215.3,206.58,8,Yes,None
140,19,5,MD,USD,701.31,292.02,102.61,232.53,8,No,None
141,60,4,MD,USD,394.33,75.19,21.87,11.86,8,N,Food Pantry
142,82,1,VT,USD,980.51,399.7,136.78,316.47,20,Yes,None
143,73,7,AL,USD,1049.19,335.26,95.41,311.18,0,Yes,None
144,,8,AZ,USD,9999999,341.89,150.29,89.82,9,No,None
145,67,1,WV,USD,469.82,288.69,152.09,48.47,4,Yes,None
146,58,2,TX,USD,273.56,121.73,44.72,105.44,9,Yes,School Meals
147,67,1,,USD,93.39,305.19,61.04,38.13,15,Y,None
149,44,12,MA,USD,0,99.79,51.68,13.55,6,No,None
150,42,8,ID,USD,519.49,138.13,63.15,34.12,4,Yes,None
151,51,12,MS,CAD,279.85,133.26,60.22,11.06,6,Yes,None
152,61,3,PA,USD,866.78,136.25,75.12,20.63,15,No,None
153,61,4,RI,USD,244.06,106.52,38.18,69.52,2,Yes,None
154,48,6,OH,USD,271.92,143.34,91.71,8.83,3,N,Food Pantry
155,15,8,OK,USD,288.34,292.15,96.25,41.77,2,Unknown,None
156,46,7,WI,CAD,172.83,191.59,100.21,123.31,6,Unknown,SNAP
157,58,4,AL,EUR,,165.44,43.97,69.92,4,No,None
161,67,1,VT,USD,458.84,323.71,168.76,96.45,5,Y,None
163,64,6,MI,USD,517.2,181.4,86.95,,7,Yes,None
164,65,3,ID,USD,125.16,9.45,4.33,4.09,7,No,SNAP
166,90,6,,USD,277.78,261.15,131.7,16.93,7,N,None
167,30,7,MD,USD,159.28,51.79,39.51,18.66,7,No,SNAP
168,8,7,NH,USD,469.54,53.47,11.1,21.34,5,Unknown,None
169,83,1,WI,USD,177.01,458.42,137.36,146.98,5,No,None
170,40,2,IA,CAD,638.23,523.44,115.95,131.59,0,N,None
171,84,2,WI,USD,831.7,154.98,138.23,78.54,2,No,School Meals
172,31,6,CO,USD,0,25.42,10.64,,10,,None
173,33,3,FL,USD,222.07,27.85,13.32,13.44,9,Yes,SNAP
174,,1,LA,USD,339.24,392.5,157.53,298.49,20,Yes,None
175,39,1,AZ,USD,447.78,155.02,123.4,108.53,10,Yes,WIC
176,16,3,TX,USD,454.66,100.61,67.3,34.32,15,No,None
177,90,6,IN,USD,,356.81,213.07,77.22,0,Yes,None
178,68,8,PR,USD,419.23,51.6,42.67,30.3,20,Yes,Food Pantry
179,49,8,,USD,102.96,167.14,100.07,-1.66,8,No,None
180,52,1,WY,USD,-28.99,240.29,63.2,49.79,10,,?
181,53,7,AZ,USD,520.64,271.85,68.08,130.76,15,,None
182,18,7,DE,EUR,191.02,282.43,198.83,107.13,3,No,None
183,47,4,AL,USD,476.38,378.96,146.6,16.33,7,No,None
184,47,8,VT,USD,575.32,167.92,47.37,,2,Yes,None
185,90,5,AK,USD,149.26,-73.48,,,4,Yes,Food Pantry
187,52,1,TN,USD,730.91,231.92,42.75,76.35,10,No,WIC
188,66,8,NJ,USD,545.7,40.75,19.38,39.4,2,Yes,?
189,,0,OK,USD,629.39,356.17,127.45,181.37,15,No,None
190,16,12,ID,USD,430.66,222.54,136.85,,8,No,None
191,68,2,ME,CAD,472.25,347.08,157.12,,6,Yes,None
192,54,5,NY,USD,523.62,154.13,50.25,24.81,3,N,Food Pantry
193,,12,DC,USD,281.21,102.73,12.2,,6,No,None
194,68,0,ID,USD,299.39,223.92,168.69,135.8,15,,None
195,89,8,ID,USD,628.22,211.46,92.17,65.54,2,No,None
197,86,4,MT,USD,926.01,149.17,66.2,5.44,4,No,School Meals
198,30,2,VA,USD,408.82,229.45,133.52,125.36,4,No,WIC
199,90,0,VT,USD,109.44,115.02,32.37,96.87,15,N,None
200,4,4,PA,EUR,663.37,318.27,129.63,51.01,3,Unknown,None
201,77,3,DC,USD,394.14,198.25,109.5,31.98,1,Yes,None
202,52,7,KS,USD,,167.71,51.24,37.59,4,No,Food Pantry
203,17,0,WV,USD,-31.23,269.22,151.78,74.02,20,No,None
204,,5,WY,USD,418.79,308.26,99.96,145,8,Yes,None
205,54,0,SC,USD,337.2,207.84,107.22,-15.63,0,No,None
207,64,1,FL,USD,0,304.87,87.67,86.73,15,No,None
208,54,7,WI,USD,24.86,230.58,118.06,73.83,20,Yes,None
209,68,2,VT,USD,469.73,362.11,202.42,-22.92,7,Yes,?
210,70,12,MN,USD,,164.08,80.31,58.32,15,,None
211,3,0,MT,USD,914.78,283.95,90.4,269.16,2,Yes,None
212,50,4,WI,USD,503.33,448.04,191.17,3.5,1,N,None
213,16,3,NM,USD,330.42,130.88,99.86,36.73,4,No,None
215,38,1,AZ,USD,504.49,389.02,102.25,228.84,2,Yes,None
217,56,2,OH,USD,706.36,117.7,57.16,41.69,7,Yes,None
218,3,0,NC,USD,0,421.68,254.45,39.58,8,No,SNAP
219,42,2,PA,USD,338.39,358.79,209.13,225.76,15,No,None
220,51,7,NJ,USD,13.88,390.23,187.16,-7.62,6,Yes,School Meals
221,85,5,FL,USD,526.39,300.39,178.98,75.05,9,No,Food Pantry
222,21,4,MS,USD,458.28,143.68,66.84,44.52,15,Yes,None
224,26,4,WI,USD,296.91,415.1,152.52,,2,,SNAP
225,28,1,AZ,CAD,157.65,384.96,178.98,58.5,8,No,None
226,38,1,WI,USD,439.92,129.28,61.36,,10,Unknown,None
227,5,8,SD,USD,554.18,651.01,341.93,134.28,10,Yes,None
228,51,12,CO,USD,407.43,155.91,40.42,178.87,6,No,None
230,83,1,WV,USD,413.68,239.02,88.3,118.91,7,No,WIC
231,74,12,MS,USD,206.1,416.6,171.82,100.48,0,Yes,None
232,76,3,SC,USD,702.22,354.07,110.85,206.87,0,N,SNAP
233,77,1,WI,USD,614.19,182.34,159.21,62.81,8,No,WIC
234,25,6,RI,USD,503.78,248.54,40.31,97.45,4,No,None
235,45,12,WA,USD,99.47,168.89,66.95,149.65,1,No,None
236,37,0,IA,USD,194.13,122.03,83.11,58.9,4,Yes,None
237,83,2,IA,USD,440.67,310.17,108.71,40.97,10,No,None
238,71,4,VT,USD,553.9,305.57,70.33,73.73,1,Y,SNAP
239,72,5,AZ,CAD,249.49,239.71,189.22,154.34,15,Yes,Food Pantry
240,4,6,NY,USD,,164.02,141.08,89.56,15,No,None
241,16,8,TX,USD,570.85,104.97,38.44,55.39,6,No,Food Pantry
242,,5,ID,USD,334.96,,52.73,126.68,2,No,None
243,78,12,SD,USD,372.02,14.68,5.78,,5,Yes,SNAP
244,77,8,WA,USD,449.52,25.66,6.59,,4,Yes,None
245,16,7,DC,USD,695.13,285.61,136.73,109.09,8,Yes,None
246,18,12,XX,USD,829.06,353.68,256.65,179,8,Yes,None
247,48,6,OR,USD,677.2,193.65,100.05,115.74,2,Yes,SNAP
248,54,1,LA,USD,645.8,502.64,231.8,93.19,3,No,?
249,23,6,AR,USD,531.27,191.46,91.23,6.84,4,,None
250,82,6,LA,USD,318.53,301.81,106.93,235.96,8,Yes,None
252,45,1,WV,USD,326.43,607.2,221.89,,0,Yes,None
253,26,2,WV,CAD,283.38,187.75,80.25,67.31,7,Yes,Food Pantry
254,58,12,DC,USD,171.17,500.33,335.12,190.55,20,No,None
255,81,7,PA,USD,191.14,62.87,22.55,49.63,2,Yes,None
256,48,7,ND,USD,-101.25,,63.64,57.85,6,Yes,None
257,32,4,KS,USD,285.71,292.33,59.8,208.02,8,N,None
258,44,8,RI,USD,619.39,110.08,24.62,109.15,1,Yes,None
259,16,12,GA,USD,687.45,191.32,69.49,163.87,5,Unknown,None
260,88,0,MS,USD,393.96,238.79,127.89,99.2,20,No,None
261,81,2,WY,USD,284.15,320.24,192.5,24.91,8,No,None
262,44,2,IN,CAD,346.25,345.89,83.07,79.68,7,Yes,None
263,44,0,CT,USD,804.71,90.24,19.23,,4,Yes,None
264,87,12,OK,USD,0,119.05,40.16,24.78,9,Yes,None
265,40,8,PR,USD,405.04,286.88,111.79,198.15,20,No,SNAP
266,57,1,UT,USD,797.61,12.54,5.53,4.63,15,No,None
267,76,12,XX,USD,180.68,358.72,172.49,-15.5,9,No,WIC
268,89,7,NY,USD,298.1,439.47,88.47,,0,No,None
269,50,5,DC,USD,643.22,296.92,234.98,109.39,1,Yes,None
270,36,12,MS,USD,0,154.38,90.03,23.13,20,No,School Meals
271,84,12,KY,USD,84.8,361.79,210.05,-5.97,9,Yes,None
272,35,8,KS,USD,350.91,85.39,74.27,33.44,6,Yes,None
273,54,8,MN,USD,524.49,150.62,32.44,,20,Yes,SNAP
274,85,8,TN,USD,394.3,209.59,115.5,123.41,8,Yes,Food Pantry
275,83,4,AR,USD,0,61.57,22.05,54.88,4,Unknown,None
276,79,0,MN,USD,455.1,190.14,106.51,123.85,4,No,SNAP
277,78,12,VA,CAD,864.72,407.74,283.14,122.2,9,Yes,None
278,55,12,MA,USD,566.29,360.76,186.4,96.85,15,Yes,None
279,34,12,LA,USD,70.29,270.44,,62.93,20,Yes,SNAP
280,47,3,ND,USD,316.39,517.47,111.68,,2,No,None
281,29,5,KY,USD,635.88,658.51,238.98,,6,No,SNAP
283,6,0,NC,CAD,434.91,162.45,55.88,97.09,9,Unknown,None
284,,5,AK,USD,423.81,15.22,9.26,3.81,3,Yes,None
286,33,1,AZ,USD,0,387.72,106.12,,2,Unknown,None
287,59,7,CA,EUR,469.17,37.74,13.59,10.23,0,Yes,None